Roberts Vītols startēs Lielbritānijas Super 1600 rallijkrosa čempionātā,https://f1.lv/2020/06/26/roberts-vitols-startes-lielbritanijas-super-1600-rallijkrosa-cempionata/
WRC rīkotājs un ERC Rally Liepāja organizators aptur sarunas par WRC...,https://f1.lv/2020/06/26/wrc-rikotajs-un-erc-rally-liepaja-organizators-aptur-sarunas-par-wrc-posmu/
Rīgā notiks dubultposms pasaules rallijkrosa čempionātā,https://f1.lv/2020/06/24/riga-notiks-dubultposms-pasaules-rallijkrosa-cempionata/
‘AWS’ nodrošinās F1 ar jauniem grafikiem jau šosezon,https://f1.lv/2020/06/23/aws-nodrosinas-f1-ar-jauniem-grafikiem-jau-sosezon/
Vācu kanāls ‘RTL’ pārtrauks Formula 1 tiešraides translācijas,https://f1.lv/2020/06/21/vacu-kanals-rtl-partrauks-formula-1-tiesraides-translacijas/
World RX kalendārā atgriežas Somija- sezonā būs astoņi posmi,https://f1.lv/2020/06/20/world-rx-kalendara-atgriezas-somija-sezona-bus-astoni-posmi/
Alekss Zanardi pēc ceļa negadījuma ir ‘ļoti smagā stāvoklī’,https://f1.lv/2020/06/20/alekss-zanardi-pec-cela-negadijuma-ir-loti-smaga-stavokli/
F1 īsumā: McLaren un Haas pārdošana- Ferrari testējas Maranello- Mercedes uzlabojumi,https://f1.lv/2020/06/19/f1-isuma-mclaren-un-haas-pardosana-ferrari-testejas-maranello-mercedes-uzlabojumi/
Pirms 60 gadiem – traģiskākās F1 sacīkstes vēsturē,https://f1.lv/2020/06/19/pirms-60-gadiem-tragiskakas-f1-sacikstes-vesture/
Saeimas apakškomisija atbalsta finansējuma piešķiršanu WRC posmam Latvijā,https://f1.lv/2020/06/18/saeimas-apakskomisija-atbalsta-finansejuma-pieskirsanu-wrc-posmam-latvija/
Latvijas rallijkrosa čempionātā šogad būs četri posmi,https://f1.lv/2020/06/18/latvijas-rallijkrosa-cempionata-sogad-bus-cetri-posmi/
Formula E noslēgs sezonu ar 6 sacīkstēm 9 dienās,https://f1.lv/2020/06/17/formula-e-noslegs-sezonu-ar-6-sacikstem-9-dienas/
Motorsporta pasaules jaunākā inovācija – biometriskā apakšveļa,https://f1.lv/2020/06/16/motorsporta-pasaules-jaunaka-inovacija-biometriska-apaksvela/
‘Rally Liepāja’ varētu tikt iekļauts WRC kalendārā,https://f1.lv/2020/06/16/rally-liepaja-varetu-tikt-ieklauts-wrc-kalendara/
